source,reference,baseline_prediction,fine_tuned_prediction,prediction_changed
"to become ""The Beauty of Munich"" in 2018!","""Schöne Münchnerin"" 2018 werden!","2018 zur ""Schönheit Münchens""!","2018 ""Die Schönheit Münchens"" zu werden!",True
"In the afternoon there is another surprise waiting for our contestants: they will be competing for the romantic candlelight photo shoot at MY SOLARIS not alone, but together with a male-model Fabian!","Am Nachmittag wartet erneut eine Überraschung auf unsere Kandidatinnen: sie werden das romantische Candlelight-Shooting vor der MY SOLARIS nicht alleine bestreiten, sondern an der Seite von Male-Model Fabian!","Am Nachmittag wartet eine weitere Überraschung auf unsere Teilnehmer: Sie werden für das romantische Kerzenlicht-Fotoshooting bei MY SOLARIS nicht allein, sondern zusammen mit einem Herrenmodel Fabian antreten!","Am Nachmittag wartet eine weitere Überraschung auf unsere Teilnehmer: Sie werden um das romantische Kerzenlicht-Fotoshooting bei MY SOLARIS nicht allein, sondern zusammen mit einem männlichen Fabian kämpfen!",True
Especially when there is a boyfriend waiting in Germany.,"Insbesondere dann, wenn in Deutschland ein Freund wartet.",Besonders wenn ein Freund in Deutschland wartet.,"Vor allem, wenn in Deutschland ein Freund wartet.",True
"Despite dealing with wind, sprays and rain, the nine contestants of ""The Beauty of Munich"" behaved like real professionals at the photo shoot with People-photographer Tuan.","Dennoch liefern die neun ""Schöne Münchnerin""-Kandidatinnen beim Shooting mit People-Fotograf Tuan ab und trotzen Wind, Gischt und Regen wie echte Profis.","Trotz Wind, Sprays und Regen verhalten sich die neun Teilnehmer von ""The Beauty of Munich"" wie echte Profis beim Fotoshooting mit dem People-Fotografen Tuan.","Trotz des Umgangs mit Wind, Sprays und Regen benahmen sich die neun Teilnehmer von ""The Beauty of Munich"" wie echte Profis beim Fotoshooting mit dem People-Fotografen Tuan.",True
"There is an open question so you get into a conversation, you talk to him about why you have apparently felt that way, how is stated in his statement, said Grindel in football Podcast ""Phrasenmäher"" of the newspaper ""Bild-Zeitung"".","""Das ist eine Frage, die natürlich davon abhängt, dass man einmal ins Gespräch kommt, dass man mit ihm auch darüber spricht, warum er das eine oder andere offenbar so empfunden hat, wie das in seinem Statement niedergelegt ist"", sagte Grindel im Fußball-Podcast ""Phrasenmäher"" der ""Bild-Zeitung.","Es gibt eine offene Frage, so dass man in ein Gespräch kommt, man rede mit ihm darüber, warum man sich anscheinend so gefühlt habe, wie in seiner Aussage steht, sagte Grindel im Fußball Podcast ""Phrasenmäher"" der Zeitung ""Bild-Zeitung"".","Es gibt eine offene Frage, so dass man in ein Gespräch kommt, man mit ihm darüber spricht, warum man sich anscheinend so gefühlt hat, wie in seiner Aussage steht, sagte Grindel im Fußball-Podcast ""Phrasenmäher"" der Zeitung ""Bild-Zeitung"".",True
"At some point of time I also assumed that it will happen, said Grindel.","Ich bin auch bis zu einem gewissen Zeitpunkt davon ausgegangen, dass das so sein würde"", sagte Grindel.","Zu einem gewissen Zeitpunkt habe ich auch davon ausgegangen, dass es passieren wird, sagte Grindel.","Irgendwann habe ich auch davon ausgegangen, dass es passieren wird, sagte Grindel.",True
The 29-year-old had declared that he quits DFB team in July and explained it with the fact that Grindel did not protect him against racist hostility during the World Cup.,"De 29-Jährige hatte im Juli seinen Rücktritt aus dem DFB-Team erklärt und diesen auch damit begründet, dass ihn Grindel nicht gegen rassistische Anfeindungen während der WM verteidigt habe.","Der 29-Jährige hatte erklärt, dass er im Juli aus dem DFB-Team ausgetreten sei und erklärte es damit, dass Grindel ihn während der WM nicht vor rassistischer Feindseligkeit schützte.","Der 29-Jährige hatte erklärt, dass er im Juli aus dem DFB-Team ausgetreten sei und erklärt, dass Grindel ihn während der WM nicht vor rassistischer Feindseligkeit schützte.",True
The DFB head repeated his criticism of Özil and that he is not ready for a discussion with national coach and team manager Oliver Bierhoff.,"Der DFB-Chef wiederholte seine Kritik an Özil, dass dieser nicht für ein Gespräch mit Bundestrainer Joachim Löw und Teammanager Oliver Bierhoff bereit sei.",Der DFB-Chef wiederholte seine Kritik an Özil und sei nicht bereit für ein Gespräch mit Nationaltrainer und Teammanager Oliver Bierhoff.,Der DFB-Chef wiederholte seine Kritik an Özil und sei nicht bereit für eine Diskussion mit Nationaltrainer und Teammanager Oliver Bierhoff.,True
"He did not want to create any pressure, but he knows that in football ‘if you leave a team or change club, you talk to your trainer and I think it is sad that this discussion did not happen before’.","Er habe keinen Druck aufbauen wollen, aber er kenne es aus dem Fußball so, dass wenn ""man eine Mannschaft verlässt oder einen Verein wechselt, dass man darüber mit seinem Trainer spricht und ich es schade finde, dass dieses Gespräch bisher nicht zustande gekommen ist"".","Er wollte keinen Druck erzeugen, aber er weiß, dass im Fußball, „wenn man ein Team verlässt oder einen Club wechselt, man mit seinem Trainer spricht und ich finde es traurig, dass diese Diskussion noch nicht stattgefunden hat.","Er wollte keinen Druck erzeugen, aber er weiß, dass im Fußball, „wenn man ein Team verlässt oder einen Club wechselt, man mit seinem Trainer spricht, und ich finde es traurig, dass diese Diskussion vorher nicht stattgefunden hat.",True
Linz: Garden shed in allotment gardens burnt down,Linz: Gartenhütte in Schrebergartensiedlung brannte,Linz: Gartenhaus in den Gärten der Allotmente abgebrannt,Linz: Gartenhaus im Garten der Zuteilung abgebrannt,True
